Date,Consensual,Disturbance,Other,Property,Violent,White-Collar
2015-09-14,65.0,7.0,50.0,409.0,218.0,37.0
2015-09-15,81.0,18.0,56.0,396.0,191.0,64.0
2015-09-16,100.0,14.0,37.0,368.0,200.0,47.0
2015-09-17,83.0,5.0,41.0,344.0,204.0,40.0
2015-09-18,73.0,8.0,53.0,413.0,189.0,55.0
2015-09-19,93.0,7.0,49.0,378.0,228.0,35.0
2015-09-20,83.0,13.0,53.0,361.0,262.0,38.0
2015-09-21,86.0,13.0,44.0,335.0,216.0,40.0
2015-09-22,100.0,15.0,51.0,361.0,203.0,45.0
2015-09-23,104.0,12.0,49.0,404.0,217.0,44.0
2015-09-24,81.0,11.0,37.0,357.0,190.0,38.0
2015-09-25,91.0,9.0,54.0,387.0,216.0,50.0
2015-09-26,69.0,12.0,45.0,394.0,241.0,30.0
2015-09-27,90.0,12.0,43.0,373.0,256.0,26.0
2015-09-28,81.0,10.0,44.0,375.0,202.0,39.0
2015-09-29,70.0,10.0,48.0,332.0,164.0,43.0
2015-09-30,86.0,10.0,46.0,353.0,143.0,37.0
2015-10-01,99.0,8.0,74.0,393.0,190.0,100.0
2015-10-02,115.0,13.0,51.0,380.0,181.0,53.0
2015-10-03,76.0,13.0,50.0,373.0,161.0,34.0
2015-10-04,74.0,9.0,45.0,316.0,187.0,22.0
2015-10-05,92.0,16.0,52.0,340.0,188.0,62.0
2015-10-06,102.0,9.0,66.0,348.0,187.0,38.0
2015-10-07,83.0,10.0,49.0,338.0,193.0,44.0
2015-10-08,75.0,8.0,45.0,333.0,202.0,37.0
2015-10-09,114.0,14.0,52.0,378.0,182.0,53.0
2015-10-10,69.0,13.0,48.0,369.0,188.0,40.0
2015-10-11,57.0,10.0,49.0,344.0,256.0,19.0
2015-10-12,67.0,11.0,54.0,359.0,199.0,38.0
2015-10-13,69.0,12.0,50.0,364.0,204.0,41.0
2015-10-14,90.0,9.0,46.0,387.0,183.0,49.0
2015-10-15,93.0,11.0,58.0,407.0,177.0,62.0
2015-10-16,86.0,10.0,47.0,364.0,179.0,47.0
2015-10-17,71.0,10.0,37.0,369.0,194.0,25.0
2015-10-18,66.0,11.0,42.0,322.0,210.0,24.0
2015-10-19,66.0,14.0,48.0,425.0,197.0,38.0
2015-10-20,102.0,9.0,42.0,402.0,172.0,57.0
2015-10-21,90.0,10.0,48.0,410.0,194.0,41.0
2015-10-22,96.0,13.0,68.0,365.0,188.0,43.0
2015-10-23,102.0,13.0,45.0,373.0,194.0,49.0
2015-10-24,66.0,5.0,35.0,386.0,234.0,37.0
2015-10-25,75.0,10.0,32.0,364.0,224.0,23.0
2015-10-26,58.0,10.0,50.0,406.0,201.0,55.0
2015-10-27,51.0,6.0,44.0,350.0,163.0,35.0
2015-10-28,62.0,11.0,59.0,350.0,155.0,44.0
2015-10-29,64.0,8.0,43.0,354.0,161.0,38.0
2015-10-30,110.0,18.0,49.0,374.0,170.0,53.0
2015-10-31,65.0,9.0,43.0,371.0,204.0,28.0
2015-11-01,90.0,10.0,66.0,439.0,286.0,84.0
2015-11-02,85.0,12.0,59.0,364.0,214.0,48.0
2015-11-03,67.0,8.0,54.0,367.0,204.0,50.0
2015-11-04,94.0,8.0,59.0,395.0,192.0,40.0
2015-11-05,76.0,9.0,44.0,382.0,199.0,42.0
2015-11-06,94.0,9.0,41.0,383.0,180.0,38.0
2015-11-07,82.0,7.0,51.0,334.0,186.0,31.0
2015-11-08,83.0,7.0,35.0,363.0,192.0,24.0
2015-11-09,73.0,11.0,49.0,346.0,165.0,37.0
2015-11-10,67.0,5.0,39.0,305.0,180.0,44.0
2015-11-11,85.0,15.0,43.0,330.0,155.0,57.0
2015-11-12,80.0,13.0,43.0,361.0,132.0,62.0
2015-11-13,76.0,13.0,44.0,354.0,153.0,38.0
2015-11-14,74.0,8.0,38.0,377.0,169.0,29.0
2015-11-15,76.0,17.0,54.0,344.0,190.0,39.0
2015-11-16,66.0,8.0,46.0,396.0,175.0,50.0
2015-11-17,70.0,12.0,40.0,345.0,156.0,43.0
2015-11-18,73.0,12.0,40.0,341.0,170.0,45.0
2015-11-19,101.0,16.0,38.0,348.0,146.0,48.0
2015-11-20,92.0,11.0,40.0,353.0,171.0,43.0
2015-11-21,45.0,9.0,33.0,257.0,154.0,30.0
2015-11-22,45.0,7.0,49.0,244.0,146.0,28.0
2015-11-23,62.0,9.0,45.0,328.0,165.0,41.0
2015-11-24,54.0,8.0,43.0,322.0,150.0,30.0
2015-11-25,57.0,7.0,39.0,339.0,143.0,33.0
