Date,Temp. (¡F),Events
9/18/16,69,Clear
9/19/16,72,Clear
9/20/16,75,Rain
9/21/16,70,"Rain , Thunderstorm"
9/22/16,73,Clear
9/23/16,70,Clear
9/24/16,70,Clear
9/25/16,74,Rain
9/26/16,63,Rain
9/27/16,61,Clear
9/28/16,55,"Rain , Thunderstorm"
9/29/16,62,Rain
9/30/16,62,Rain
10/1/16,61,"Rain , Thunderstorm"
10/2/16,61,"Fog , Rain"
10/3/16,62,Clear
10/4/16,68,Clear
10/5/16,70,Clear
10/6/16,66,"Rain , Thunderstorm"
10/7/16,59,Clear
10/8/16,53,Clear
10/9/16,55,Clear
10/10/16,58,Clear
10/11/16,64,Rain
10/12/16,57,"Rain , Thunderstorm"
10/13/16,48,Clear
10/14/16,52,Clear
10/15/16,62,Rain
10/16/16,69,"Rain , Thunderstorm"
10/17/16,75,Clear
10/18/16,66,Clear
10/19/16,60,Rain
10/20/16,51,Clear
10/21/16,46,Clear
10/22/16,49,Clear
10/23/16,57,Clear
10/24/16,49,Clear
10/25/16,45,Rain
10/26/16,48,"Rain , Thunderstorm"
10/27/16,47,Clear
10/28/16,52,Clear
10/29/16,64,Clear
10/30/16,49,"Rain , Thunderstorm"
10/31/16,48,Clear
11/1/16,68,Clear
11/2/16,60,"Rain , Thunderstorm"
11/3/16,58,Clear
11/4/16,52,Clear
11/5/16,56,Clear
11/6/16,56,Clear
11/7/16,54,Clear
11/8/16,56,Rain
11/9/16,50,Clear
11/10/16,52,Clear
11/11/16,45,Clear
11/12/16,42,Clear
11/13/16,46,Clear
11/14/16,51,Clear
11/15/16,46,Fog
11/16/16,50,Clear
11/17/16,58,Clear
11/18/16,53,"Rain , Thunderstorm"
11/19/16,34,Snow
11/20/16,29,Clear
11/21/16,32,Clear
11/22/16,33,Rain
11/23/16,41,Rain
11/24/16,39,Rain
11/25/16,37,Rain
11/26/16,40,Clear
11/27/16,38,Rain
11/28/16,46,Rain
11/29/16,51,Clear
11/30/16,40,Rain
12/1/16,38,Rain
12/2/16,37,Clear
12/3/16,32,Clear
12/4/16,30,"Fog , Snow"
12/5/16,33,Clear
12/6/16,33,Fog
12/7/16,25,Snow
12/8/16,21,Snow
12/9/16,22,Snow
12/10/16,21,Snow
12/11/16,28,"Fog , Snow"
12/12/16,20,Clear
12/13/16,12,Snow
12/14/16,11,Snow
12/15/16,4,Clear
12/16/16,14,"Fog , Snow"
12/17/16,20,Snow
12/18/16,6,Snow
12/19/16,1,Clear
12/20/16,21,Clear
12/21/16,28,Clear
12/22/16,31,Clear
12/23/16,31,"Rain , Snow"
12/24/16,36,Clear
12/25/16,36,"Fog , Rain"
12/26/16,41,"Fog , Rain"
12/27/16,24,Clear
12/28/16,32,Clear
12/29/16,33,Snow
12/30/16,31,Clear
12/31/16,32,Clear
1/1/17,28,Clear
1/2/17,34,"Fog , Rain"
1/3/17,29,"Fog , Rain"
1/4/17,13,Clear
1/5/17,8,Snow
1/6/17,5,Clear
1/7/17,9,Clear
1/8/17,11,Clear
1/9/17,26,Snow
1/10/17,38,Rain
1/11/17,34,"Fog , Rain , Thunderstorm"
1/12/17,24,"Rain , Snow"
1/13/17,22,Clear
1/14/17,28,Clear
1/15/17,28,Clear
1/16/17,34,Rain
1/17/17,37,"Rain , Thunderstorm"
1/18/17,33,Rain
1/19/17,36,Rain
1/20/17,41,"Fog , Rain"
1/21/17,50,Fog
1/22/17,42,"Fog , Rain"
1/23/17,39,Clear
1/24/17,36,Clear
1/25/17,38,"Rain , Snow"
1/26/17,32,"Rain , Snow"
1/27/17,28,Snow
1/28/17,27,Clear
1/29/17,25,Snow
1/30/17,26,Snow
1/31/17,37,Rain
2/1/17,30,Snow
2/2/17,19,Clear
2/3/17,21,Clear
2/4/17,22,Clear
2/5/17,31,Clear
2/6/17,38,"Fog , Rain"
2/7/17,41,"Fog , Rain , Thunderstorm"
2/8/17,26,Clear
2/9/17,19,Clear
2/10/17,30,Clear
2/11/17,42,Clear
2/12/17,39,Clear
2/13/17,35,Clear
2/14/17,41,Clear
2/15/17,31,Clear
2/16/17,36,Clear
2/17/17,47,Clear
2/18/17,55,Clear
2/19/17,52,Clear
2/20/17,56,Clear
2/21/17,58,Rain
2/22/17,59,Fog
2/23/17,49,Rain
2/24/17,37,"Rain , Thunderstorm"
2/25/17,28,Snow
2/26/17,35,Rain
2/27/17,41,Clear
2/28/17,54,"Rain , Thunderstorm"
3/1/17,43,"Fog , Rain , Snow"
3/2/17,31,Snow
3/3/17,27,Clear
3/4/17,35,Snow
3/5/17,46,Clear
3/6/17,59,Clear
3/7/17,55,"Rain , Thunderstorm"
3/8/17,47,Clear
3/9/17,36,Clear
3/10/17,30,Clear
3/11/17,25,Clear
3/12/17,27,Snow
3/13/17,28,"Fog , Snow"
3/14/17,24,"Fog , Snow , Thunderstorm"
3/15/17,25,Clear
3/16/17,30,Clear
3/17/17,43,"Rain , Snow"
3/18/17,39,Clear
3/19/17,41,Clear
3/20/17,46,"Rain , Thunderstorm"
3/21/17,44,Clear
3/22/17,33,Clear
3/23/17,40,"Rain , Thunderstorm"
3/24/17,62,"Rain , Thunderstorm"
3/25/17,44,Rain
3/26/17,55,Rain
3/27/17,47,"Fog , Rain"
3/28/17,43,Clear
3/29/17,42,"Fog , Rain"
3/30/17,42,"Rain , Thunderstorm"
3/31/17,40,Rain
4/1/17,47,Clear
4/2/17,52,Rain
4/3/17,50,Rain
4/4/17,50,Rain
4/5/17,44,Rain
4/6/17,45,Rain
4/7/17,46,Clear
4/8/17,53,Clear
4/9/17,67,Clear
4/10/17,60,"Rain , Thunderstorm"
4/11/17,48,Fog
4/12/17,49,Clear
4/13/17,52,Rain
4/14/17,57,Rain
4/15/17,72,Clear
4/16/17,63,"Rain , Thunderstorm"
4/17/17,57,Clear
4/18/17,59,Clear
4/19/17,58,"Rain , Thunderstorm"
4/20/17,61,Clear
4/21/17,49,Clear
4/22/17,49,Clear
4/23/17,55,Clear
4/24/17,57,Clear
4/25/17,66,Clear
4/26/17,67,Rain
4/27/17,52,Rain
4/28/17,50,Rain
4/29/17,43,"Rain , Thunderstorm"
4/30/17,45,"Rain , Thunderstorm"
5/1/17,51,Rain
5/2/17,46,Rain
5/3/17,46,Clear
5/4/17,49,Clear
5/5/17,51,Rain
5/6/17,51,Rain
5/7/17,48,Clear
5/8/17,46,Rain
5/9/17,52,Rain
5/10/17,56,"Rain , Thunderstorm"
5/11/17,57,Clear
5/12/17,59,Clear
5/13/17,65,Clear
5/14/17,61,Clear
5/15/17,66,Thunderstorm
5/16/17,74,Clear
5/17/17,73,"Rain , Thunderstorm"
5/18/17,63,"Rain , Thunderstorm"
5/19/17,47,Rain
5/20/17,56,"Rain , Thunderstorm"
5/21/17,58,"Rain , Thunderstorm"
5/22/17,61,Clear
5/23/17,59,Rain
5/24/17,58,Rain
5/25/17,61,Clear
5/26/17,62,Rain
5/27/17,65,Clear
5/28/17,67,Thunderstorm
5/29/17,66,Clear
5/30/17,64,Rain
5/31/17,63,Clear
6/1/17,66,Clear
6/2/17,70,Clear
6/3/17,71,Clear
6/4/17,79,Clear
6/5/17,67,Clear
6/6/17,65,Clear
6/7/17,67,Clear
6/8/17,68,Rain
6/9/17,76,"Rain , Thunderstorm"
6/10/17,77,Clear
6/11/17,83,Clear
6/12/17,84,Clear
6/13/17,78,Thunderstorm
6/14/17,80,"Rain , Thunderstorm"
6/15/17,80,"Rain , Thunderstorm"
6/16/17,77,"Rain , Thunderstorm"
6/17/17,78,"Rain , Thunderstorm"
6/18/17,74,Rain
6/19/17,71,"Rain , Hail , Thunderstorm"
6/20/17,69,Rain
6/21/17,68,Clear
6/22/17,78,Clear
6/23/17,75,"Rain , Thunderstorm"
6/24/17,67,Rain
6/25/17,63,Clear
6/26/17,65,Clear
6/27/17,64,Clear
6/28/17,69,"Fog , Rain , Thunderstorm"
6/29/17,74,"Rain , Thunderstorm"
6/30/17,74,Clear
7/1/17,74,Clear
7/2/17,76,Clear
7/3/17,73,Clear
7/4/17,74,Clear
7/5/17,77,Thunderstorm
7/6/17,81,Clear
7/7/17,76,"Rain , Thunderstorm"
7/8/17,71,Clear
7/9/17,75,Clear
7/10/17,76,"Rain , Thunderstorm"
7/11/17,78,"Rain , Thunderstorm"
7/12/17,75,"Rain , Thunderstorm"
7/13/17,79,"Rain , Thunderstorm"
7/14/17,68,Clear
7/15/17,71,Clear
7/16/17,69,Rain
7/17/17,68,Clear
7/18/17,75,Clear
7/19/17,79,"Rain , Thunderstorm"
7/20/17,79,"Rain , Thunderstorm"
7/21/17,81,"Rain , Thunderstorm"
7/22/17,80,"Rain , Thunderstorm"
7/23/17,80,"Rain , Thunderstorm"
7/24/17,70,Clear
7/25/17,72,Clear
7/26/17,75,Rain
7/27/17,76,Rain
7/28/17,73,Clear
7/29/17,72,Clear
7/30/17,73,Clear
7/31/17,76,Clear
8/1/17,77,"Rain , Thunderstorm"
8/2/17,77,"Rain , Thunderstorm"
8/3/17,73,"Rain , Thunderstorm"
8/4/17,62,Clear
8/5/17,70,Clear
8/6/17,70,Clear
8/7/17,69,Clear
8/8/17,71,Clear
8/9/17,72,Clear
8/10/17,73,"Rain , Thunderstorm"
8/11/17,72,Clear
8/12/17,69,Clear
8/13/17,69,Clear
8/14/17,73,Clear
8/15/17,76,Clear
8/16/17,78,"Rain , Thunderstorm"
8/17/17,77,Rain
8/18/17,75,Clear
8/19/17,75,Clear
8/20/17,77,"Rain , Thunderstorm"
8/21/17,79,"Rain , Thunderstorm"
8/22/17,73,Rain
8/23/17,70,Clear
8/24/17,66,Clear
8/25/17,63,Clear
8/26/17,67,Rain
8/27/17,70,Thunderstorm
8/28/17,72,"Rain , Thunderstorm"
8/29/17,69,Rain
8/30/17,71,Clear
8/31/17,69,Clear
9/1/17,60,Clear
9/2/17,63,Rain
9/3/17,71,Clear
9/4/17,72,Rain
9/5/17,62,Rain
9/6/17,58,Clear
9/7/17,62,Clear
9/8/17,64,Rain
9/9/17,63,Clear
9/10/17,60,Clear
9/11/17,64,Clear
9/12/17,66,Clear
9/13/17,68,Clear
9/14/17,70,Fog
9/15/17,75,Clear
9/16/17,77,Clear
9/17/17,75,Clear
9/18/17,68,Clear
9/19/17,72,Rain
9/20/17,77,Clear
9/21/17,83,Clear
9/22/17,83,Clear
9/23/17,84,Clear
9/24/17,82,Clear
9/25/17,80,Clear
9/26/17,81,Clear
9/27/17,64,Clear
9/28/17,64,Clear
9/29/17,63,Clear
9/30/17,61,Clear
10/1/17,60,Clear
10/2/17,71,Clear
10/3/17,73,Clear
10/4/17,67,Rain
10/5/17,66,Rain
10/6/17,65,Rain
10/7/17,70,Rain
10/8/17,66,Clear
10/9/17,67,Clear
10/10/17,61,Rain
10/11/17,59,Rain
10/12/17,58,Rain
10/13/17,64,Clear
10/14/17,64,"Rain , Thunderstorm"
