,Date,Temp (F) avg,Event
793,2017-03-04,62,Clear
794,2017-03-05,56,Rain
795,2017-03-06,57,Clear
796,2017-03-07,63,Clear
797,2017-03-08,70,Clear
798,2017-03-09,72,Clear
799,2017-03-10,69,Clear
800,2017-03-11,69,Clear
801,2017-03-12,69,Fog
802,2017-03-13,70,Fog
803,2017-03-14,69,Fog
804,2017-03-15,71,Clear
805,2017-03-16,69,Clear
806,2017-03-17,66,Clear
807,2017-03-18,66,Clear
808,2017-03-19,67,Clear
809,2017-03-20,65,Clear
810,2017-03-21,62,Rain
811,2017-03-22,62,Rain
812,2017-03-23,62,Clear
813,2017-03-24,63,Clear
814,2017-03-25,62,Clear
815,2017-03-26,64,Clear
816,2017-03-27,65,Clear
817,2017-03-28,68,Clear
818,2017-03-29,70,Clear
819,2017-03-30,67,Clear
820,2017-03-31,67,Clear
821,2017-04-01,64,Clear
822,2017-04-02,68,Clear
823,2017-04-03,63,Clear
824,2017-04-04,67,Clear
825,2017-04-05,72,Clear
826,2017-04-06,68,Clear
827,2017-04-07,65,Clear
828,2017-04-08,63,Rain
829,2017-04-09,62,Clear
830,2017-04-10,67,Clear
831,2017-04-11,66,Clear
832,2017-04-12,66,Clear
833,2017-04-13,64,Clear
834,2017-04-14,62,Clear
835,2017-04-15,65,Clear
836,2017-04-16,66,Clear
837,2017-04-17,66,Clear
838,2017-04-18,69,Clear
839,2017-04-19,69,Clear
840,2017-04-20,69,Clear
841,2017-04-21,75,Clear
842,2017-04-22,77,Clear
843,2017-04-23,71,Clear
844,2017-04-24,66,Clear
845,2017-04-25,69,Clear
846,2017-04-26,70,Clear
847,2017-04-27,73,Clear
848,2017-04-28,77,Clear
849,2017-04-29,73,Clear
850,2017-04-30,73,Clear
851,2017-05-01,73,Clear
852,2017-05-02,75,Clear
853,2017-05-03,73,Clear
854,2017-05-04,71,Clear
855,2017-05-05,66,Clear
856,2017-05-06,59,Clear
857,2017-05-07,59,Rain
858,2017-05-08,61,Clear
859,2017-05-09,64,Clear
860,2017-05-10,65,Clear
861,2017-05-11,65,Clear
862,2017-05-12,67,Clear
863,2017-05-13,66,Clear
864,2017-05-14,65,Clear
865,2017-05-15,62,Clear
866,2017-05-16,63,Clear
867,2017-05-17,64,Clear
868,2017-05-18,66,Clear
869,2017-05-19,74,Clear
870,2017-05-20,79,Clear
871,2017-05-21,75,Clear
872,2017-05-22,71,Clear
873,2017-05-23,71,Clear
874,2017-05-24,68,Clear
875,2017-05-25,65,Clear
876,2017-05-26,67,Clear
877,2017-05-27,65,Clear
878,2017-05-28,69,Clear
879,2017-05-29,63,Clear
880,2017-05-30,67,Clear
881,2017-05-31,66,Clear
882,2017-06-01,68,Clear
883,2017-06-02,70,Clear
884,2017-06-03,72,Clear
885,2017-06-04,69,Clear
886,2017-06-05,70,Clear
887,2017-06-06,69,Clear
888,2017-06-07,68,Clear
889,2017-06-08,66,Rain
890,2017-06-09,69,Clear
891,2017-06-10,69,Clear
892,2017-06-11,67,Clear
893,2017-06-12,67,Clear
894,2017-06-13,71,Clear
895,2017-06-14,74,Clear
896,2017-06-15,75,Clear
897,2017-06-16,76,Clear
898,2017-06-17,75,Clear
899,2017-06-18,74,Clear
900,2017-06-19,74,Clear
901,2017-06-20,74,Clear
902,2017-06-21,73,Clear
903,2017-06-22,73,Clear
904,2017-06-23,71,Clear
905,2017-06-24,70,Clear
906,2017-06-25,76,Clear
907,2017-06-26,81,Clear
908,2017-06-27,77,Clear
909,2017-06-28,72,Clear
910,2017-06-29,71,Clear
911,2017-06-30,70,Clear
912,2017-07-01,69,Clear
913,2017-07-02,73,Clear
914,2017-07-03,74,Clear
915,2017-07-04,73,Clear
916,2017-07-05,75,Clear
917,2017-07-06,77,Clear
918,2017-07-07,82,Clear
919,2017-07-08,85,Clear
920,2017-07-09,84,Clear
921,2017-07-10,81,Clear
922,2017-07-11,77,Clear
923,2017-07-12,75,Clear
924,2017-07-13,75,Clear
