Date,Temp (F) avg,Event,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-07-15,73,Clear,6.0,19.0,443.0,176.0,18.0,662.0
2015-07-16,73,Clear,6.0,20.0,332.0,135.0,19.0,512.0
2015-07-17,72,Clear,6.0,22.0,389.0,179.0,15.0,611.0
2015-07-18,76,Rain,5.0,13.0,328.0,167.0,10.0,523.0
2015-07-19,82,Rain,6.0,18.0,348.0,215.0,4.0,591.0
2015-07-20,78,Clear,2.0,28.0,418.0,174.0,18.0,640.0
2015-07-21,75,Clear,5.0,25.0,387.0,167.0,21.0,605.0
2015-07-22,75,Clear,3.0,24.0,358.0,177.0,24.0,586.0
2015-07-23,75,Clear,6.0,18.0,387.0,170.0,15.0,596.0
2015-07-24,76,Clear,5.0,26.0,383.0,160.0,12.0,586.0
2015-07-25,77,Clear,1.0,12.0,405.0,200.0,12.0,630.0
2015-07-26,76,Clear,6.0,13.0,363.0,224.0,8.0,614.0
2015-07-27,75,Clear,1.0,23.0,419.0,187.0,18.0,648.0
2015-07-28,76,Clear,1.0,22.0,422.0,157.0,10.0,612.0
2015-07-29,74,Clear,7.0,23.0,419.0,151.0,14.0,614.0
2015-07-30,76,Clear,8.0,18.0,392.0,175.0,16.0,609.0
2015-07-31,76,Clear,5.0,15.0,441.0,184.0,12.0,657.0
2015-08-01,75,Clear,3.0,36.0,525.0,274.0,25.0,863.0
2015-08-02,75,Clear,4.0,18.0,399.0,193.0,9.0,623.0
2015-08-03,76,Clear,9.0,21.0,422.0,158.0,18.0,628.0
2015-08-04,78,Clear,2.0,17.0,386.0,144.0,20.0,569.0
2015-08-05,78,Clear,7.0,13.0,404.0,174.0,21.0,619.0
2015-08-06,77,Clear,3.0,22.0,371.0,178.0,22.0,596.0
2015-08-07,74,Clear,4.0,15.0,399.0,138.0,16.0,572.0
2015-08-08,73,Clear,3.0,15.0,342.0,187.0,10.0,557.0
2015-08-09,71,Clear,10.0,11.0,333.0,178.0,7.0,539.0
2015-08-10,71,Clear,3.0,25.0,382.0,152.0,18.0,580.0
2015-08-11,72,Clear,7.0,10.0,328.0,163.0,14.0,522.0
2015-08-12,74,Clear,6.0,22.0,381.0,161.0,16.0,586.0
2015-08-13,80,Clear,9.0,12.0,381.0,145.0,9.0,556.0
2015-08-14,80,Clear,4.0,14.0,419.0,133.0,18.0,588.0
2015-08-15,84,Clear,4.0,27.0,420.0,193.0,15.0,659.0
2015-08-16,82,Clear,8.0,18.0,374.0,185.0,7.0,592.0
2015-08-17,79,Clear,6.0,22.0,405.0,156.0,11.0,600.0
2015-08-18,77,Clear,5.0,21.0,328.0,171.0,24.0,549.0
2015-08-19,75,Clear,6.0,23.0,387.0,175.0,20.0,611.0
2015-08-20,74,Clear,5.0,17.0,402.0,195.0,18.0,637.0
2015-08-21,74,Clear,5.0,28.0,414.0,174.0,14.0,635.0
2015-08-22,76,Clear,9.0,13.0,397.0,210.0,10.0,639.0
2015-08-23,75,Clear,3.0,14.0,358.0,203.0,7.0,585.0
2015-08-24,77,Clear,1.0,21.0,423.0,170.0,18.0,633.0
2015-08-25,79,Rain,,14.0,411.0,175.0,16.0,
2015-08-26,83,Clear,1.0,18.0,394.0,156.0,15.0,584.0
2015-08-27,82,Clear,3.0,16.0,359.0,170.0,15.0,563.0
2015-08-28,85,Clear,5.0,17.0,399.0,186.0,23.0,630.0
2015-08-29,84,Clear,9.0,17.0,377.0,219.0,12.0,634.0
2015-08-30,81,Clear,13.0,13.0,315.0,205.0,9.0,555.0
2015-08-31,77,Clear,6.0,20.0,388.0,153.0,27.0,594.0
2015-09-01,76,Clear,3.0,34.0,544.0,212.0,24.0,817.0
2015-09-02,74,Clear,4.0,16.0,349.0,141.0,19.0,529.0
2015-09-03,73,Clear,9.0,24.0,384.0,151.0,25.0,593.0
2015-09-04,73,Clear,7.0,18.0,419.0,144.0,15.0,603.0
2015-09-05,75,Clear,4.0,27.0,374.0,168.0,15.0,588.0
2015-09-06,77,Clear,2.0,12.0,312.0,194.0,7.0,527.0
2015-09-07,81,Clear,1.0,13.0,324.0,211.0,9.0,558.0
2015-09-08,85,Clear,5.0,22.0,361.0,165.0,18.0,571.0
2015-09-09,89,Clear,6.0,13.0,342.0,184.0,15.0,560.0
2015-09-10,87,Clear,7.0,17.0,373.0,184.0,15.0,596.0
2015-09-11,86,Clear,8.0,31.0,405.0,207.0,15.0,666.0
2015-09-12,83,Rain,7.0,14.0,330.0,197.0,17.0,565.0
2015-09-13,82,Clear,4.0,18.0,357.0,215.0,10.0,604.0
2015-09-14,78,Clear,2.0,18.0,393.0,156.0,17.0,586.0
2015-09-15,74,Rain,8.0,23.0,434.0,153.0,14.0,632.0
2015-09-16,72,Rain,5.0,16.0,392.0,138.0,19.0,570.0
2015-09-17,74,Clear,1.0,22.0,383.0,158.0,13.0,577.0
2015-09-18,76,Clear,5.0,21.0,448.0,167.0,21.0,662.0
2015-09-19,80,Clear,3.0,11.0,343.0,194.0,13.0,564.0
2015-09-20,84,Clear,4.0,14.0,365.0,240.0,15.0,638.0
2015-09-21,79,Clear,3.0,18.0,348.0,188.0,17.0,574.0
2015-09-22,77,Clear,2.0,20.0,394.0,162.0,7.0,585.0
2015-09-23,77,Clear,7.0,20.0,377.0,166.0,19.0,589.0
2015-09-24,80,Clear,6.0,15.0,404.0,188.0,14.0,627.0
2015-09-25,81,Clear,7.0,18.0,410.0,190.0,13.0,638.0
2015-09-26,81,Clear,4.0,30.0,380.0,216.0,16.0,646.0
2015-09-27,79,Clear,5.0,22.0,327.0,204.0,7.0,565.0
2015-09-28,78,Clear,5.0,21.0,379.0,183.0,13.0,601.0
2015-09-29,76,Clear,8.0,17.0,383.0,163.0,19.0,590.0
2015-09-30,78,Clear,7.0,16.0,403.0,173.0,23.0,622.0
2015-10-01,78,Clear,7.0,34.0,522.0,209.0,25.0,797.0
2015-10-02,76,Clear,4.0,18.0,399.0,159.0,10.0,590.0
