Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2015-08-19,101,12.0,58,382,195,43,791.0,69,Rain
2015-08-20,138,13.0,58,406,179,41,835.0,67,Clear
2015-08-21,110,9.0,50,429,209,50,857.0,69,Clear
2015-08-22,78,10.0,56,407,253,41,845.0,71,Clear
2015-08-23,84,14.0,49,367,260,30,804.0,69,Rain
2015-08-24,78,14.0,53,363,178,38,724.0,65,Clear
2015-08-25,79,7.0,58,391,182,49,766.0,66,Clear
2015-08-26,90,12.0,58,400,165,63,788.0,62,Clear
2015-08-27,94,17.0,56,393,159,44,763.0,64,Clear
2015-08-28,84,8.0,49,423,182,57,803.0,64,Clear
2015-08-29,78,10.0,47,359,230,34,758.0,67,Rain
2015-08-30,79,13.0,57,393,227,30,799.0,70,Clear
2015-08-31,80,14.0,45,367,191,47,744.0,73,Fog
2015-09-01,95,11.0,57,410,257,105,935.0,78,Clear
2015-09-02,96,13.0,57,393,198,41,798.0,81,Clear
2015-09-03,97,15.0,59,437,225,40,873.0,81,Clear
2015-09-04,84,16.0,54,395,197,66,812.0,77,Clear
2015-09-05,74,12.0,31,379,233,32,761.0,78,Clear
2015-09-06,88,14.0,39,381,271,22,815.0,81,Clear
2015-09-07,95,13.0,49,371,252,27,807.0,82,Clear
2015-09-08,71,6.0,52,360,175,51,715.0,75,"Fog , Rain , Thunderstorm"
2015-09-09,82,11.0,45,355,176,42,711.0,68,Clear
2015-09-10,68,11.0,46,342,158,33,658.0,64,"Rain , Thunderstorm"
2015-09-11,83,14.0,46,336,162,47,688.0,61,Rain
2015-09-12,61,15.0,47,337,217,47,724.0,58,Clear
2015-09-13,69,17.0,27,359,232,31,735.0,59,Clear
2015-09-14,65,7.0,50,409,218,37,786.0,67,Clear
2015-09-15,81,18.0,56,396,191,64,806.0,72,Clear
2015-09-16,100,14.0,37,368,200,47,766.0,70,Clear
2015-09-17,83,5.0,41,344,204,40,717.0,73,"Rain , Thunderstorm"
2015-09-18,73,8.0,53,413,189,55,791.0,70,"Rain , Thunderstorm"
2015-09-19,93,7.0,49,378,228,35,790.0,62,"Fog , Rain , Thunderstorm"
2015-09-20,83,13.0,53,361,262,38,810.0,62,Clear
2015-09-21,86,13.0,44,335,216,40,734.0,63,Clear
2015-09-22,100,15.0,51,361,203,45,775.0,67,Clear
2015-09-23,104,12.0,49,404,217,44,830.0,69,Clear
